actual\predicted,C0,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25
C0,151,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
C1,0,130,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
C2,0,0,138,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
C3,0,4,0,158,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C4,0,0,2,0,145,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2
C5,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0
C6,0,1,0,0,1,1,155,1,0,0,1,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0
C7,0,0,0,0,0,0,1,142,0,0,2,0,1,0,0,0,1,3,0,0,1,0,0,0,0,0
C8,0,0,0,0,0,2,0,0,161,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
C9,1,0,0,0,0,1,0,0,7,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C10,0,0,0,0,0,0,1,1,0,0,140,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0
C11,1,0,1,1,0,0,0,0,0,0,2,150,0,0,0,0,0,0,0,0,0,0,0,1,0,1
C12,0,1,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,1,0,0,0,0,0
C13,0,0,0,3,0,0,1,0,1,0,0,1,2,155,0,0,0,2,0,0,1,0,0,0,0,0
C14,0,1,0,1,0,0,1,2,0,0,0,0,0,0,130,1,3,0,0,0,0,0,0,0,0,0
C15,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,157,3,0,1,0,0,1,1,0,0,0
C16,2,1,1,2,0,0,0,1,0,0,0,0,0,0,2,0,158,0,1,0,0,0,0,0,0,0
C17,0,0,1,1,0,0,0,1,0,0,2,0,0,1,2,0,0,151,0,0,0,1,0,1,0,0
C18,0,2,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,150,1,0,0,0,2,0,1
C19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,148,0,0,0,0,1,0
C20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,1,0,0,0,0
C21,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,129,2,0,1,0
C22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,136,0,0,0
C23,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,156,0,0
C24,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,139,0
C25,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,154
