epoch,train_MSE,train_PGC,test_MSE,test_PGC
1,0.456812,20.0938,0.457967,19.3
2,0.343129,45.7875,0.347318,45.8
3,0.285713,57.95,0.291931,57.45
4,0.237038,67.4125,0.2459,66.525
5,0.219713,68.9375,0.228915,66.75
6,0.203772,69.9875,0.218604,67.475
7,0.176641,74.75,0.189771,72.65
8,0.159576,77.2875,0.172646,75.3
9,0.148303,79.2875,0.159105,77.075
10,0.13674,80.5687,0.149074,78.65
11,0.13049,81.5625,0.142427,79.675
12,0.12702,81.85,0.13993,80.275
13,0.121978,82.3187,0.132753,80.975
14,0.108746,84.725,0.121273,83.45
15,0.1028,85.6375,0.1144,84.275
16,0.098722,86.325,0.112245,84.725
17,0.0932141,86.8875,0.106047,85.175
18,0.0930753,87.3438,0.10577,85.275
19,0.0830123,88.6813,0.0967728,86.7
20,0.0816884,88.9063,0.0957621,86.7
21,0.0782574,89.5062,0.0933287,87
22,0.073436,90.0187,0.0882397,87.675
23,0.0710009,90.5313,0.0861619,87.95
24,0.0709576,90.475,0.0867511,88
25,0.0704364,90.5313,0.0847593,88.125
26,0.0646172,91.475,0.0813216,88.65
27,0.0620872,91.8125,0.0777609,89.275
28,0.0634593,91.375,0.0795421,88.45
29,0.0595729,91.9562,0.0762586,89.4
30,0.0578923,92.2,0.0744061,89.725
31,0.0576613,92.4375,0.0745255,89.85
32,0.0576204,92.075,0.0741767,89.575
33,0.0531649,92.9437,0.0700066,90.575
34,0.0514509,93.1563,0.0697978,89.9
35,0.0506021,93.325,0.0683962,90.625
36,0.0550729,92.5938,0.0712653,90.175
37,0.0571297,92.2188,0.0758425,89.55
38,0.0495126,93.4125,0.0688284,90.675
39,0.0454699,93.95,0.0633803,91.5
40,0.044035,94.3187,0.0619663,91.675
41,0.0448351,94.0938,0.0629837,91.225
42,0.0447872,94.2188,0.0636134,91.4
43,0.0485091,93.6125,0.0676136,90.6
44,0.0437983,94.2687,0.0617874,91.45
45,0.0413143,94.6188,0.0596709,92.425
46,0.0455105,93.95,0.0643648,90.95
47,0.0373624,95.15,0.0569424,92.2
48,0.0402054,94.7687,0.0593218,91.975
49,0.0397889,94.8375,0.0591339,91.725
50,0.0372851,95.1875,0.0569185,91.975
51,0.0394298,94.975,0.0587845,91.75
52,0.0396271,94.925,0.0601245,91.7
53,0.0387156,94.9188,0.0581962,92.3
54,0.0386082,95.0313,0.0590441,91.725
55,0.0405505,94.5687,0.0616902,91.225
56,0.0369313,95.1875,0.0568244,92.3
57,0.0359434,95.2813,0.0578127,91.875
58,0.0321465,95.9625,0.0532346,92.45
59,0.0313811,96.0563,0.0525013,92.625
60,0.0331261,95.8187,0.0533466,92.65
61,0.0360232,95.2188,0.0560311,92.1
62,0.0312898,96.0687,0.0531628,92.75
63,0.0348881,95.4562,0.0553316,92.625
64,0.0310511,96.0187,0.0511668,93
65,0.0356587,95.2062,0.0565094,92.3
66,0.0298778,96.2562,0.0524187,92.975
67,0.0315283,95.8312,0.0540561,92.575
68,0.0291779,96.2562,0.051631,93.075
69,0.0286548,96.3063,0.0500692,92.975
70,0.0284294,96.4188,0.0498761,93.1
71,0.0275842,96.5,0.0493163,93.325
72,0.0285318,96.4313,0.051568,93.025
73,0.0371279,95.1188,0.0566553,92.175
74,0.0254116,96.775,0.0469836,93.675
75,0.0272073,96.55,0.0494368,93.225
76,0.0269491,96.5625,0.0486873,93.325
77,0.0252131,96.8312,0.0468862,93.55
78,0.0297701,96.125,0.054407,92.6
79,0.0265321,96.5125,0.0490944,93.375
80,0.0266063,96.6,0.049509,93.225
81,0.0262219,96.7562,0.0490475,93.4
82,0.0249473,96.7938,0.0484581,93.3
83,0.0227042,97.2,0.0467083,93.5
84,0.025116,96.8312,0.0474029,93.5
85,0.0243368,96.9125,0.047199,93.725
86,0.0235793,97,0.0464363,93.675
87,0.0233132,97.1188,0.0473373,93.475
88,0.025755,96.7188,0.0490705,93.5
89,0.021889,97.3312,0.0458269,93.45
90,0.024793,96.9125,0.0489775,93.275
91,0.0218404,97.2125,0.0458897,93.85
92,0.0237956,97.075,0.0476012,93.475
93,0.0239343,97.0625,0.047624,93.425
94,0.0267381,96.5187,0.0496783,93.225
95,0.0208402,97.4188,0.0447917,94.025
96,0.0211963,97.5,0.0460349,93.65
97,0.0204035,97.425,0.0453512,94
98,0.0191493,97.6,0.042064,94.125
99,0.0275491,96.3688,0.05012,93.175
100,0.0215336,97.3563,0.0446225,94.15
101,0.0207181,97.3063,0.0435909,94.35
102,0.0211848,97.3125,0.045743,93.8
103,0.0232272,96.9437,0.0489914,93.4
104,0.0188905,97.6312,0.0420549,94.15
105,0.0179593,97.825,0.0409872,94.425
106,0.0179834,97.75,0.0423022,94.1
107,0.0191294,97.725,0.0443074,94.1
108,0.0204118,97.3125,0.04389,94.275
109,0.0176687,97.65,0.040498,94.55
110,0.0166214,98.025,0.0396174,94.95
111,0.0159371,98.075,0.0407636,94.7
112,0.0164345,98.05,0.0402902,94.65
113,0.0159985,98.1375,0.0408888,94.525
114,0.0198918,97.5313,0.0464021,93.65
115,0.0163022,98.0062,0.0407937,94.7
116,0.0159076,97.9813,0.0406759,94.225
117,0.0182314,97.7687,0.0419987,94.4
118,0.0161746,98.05,0.0405597,94.575
119,0.0154157,98.2125,0.0402788,94.725
120,0.0180491,97.7687,0.0439346,94.175
121,0.0161435,98.0375,0.0397785,94.675
122,0.0156064,98.1375,0.0422018,94.175
123,0.0173538,97.8688,0.0407863,94.625
124,0.0176055,97.8375,0.0432278,94.175
125,0.0157037,98.0438,0.0397596,94.9
126,0.0169558,97.8875,0.0421489,94.325
127,0.0160587,98.0187,0.0407432,94.325
128,0.0162447,97.9375,0.0395204,94.575
129,0.0132362,98.4313,0.0391965,94.775
130,0.0138408,98.3312,0.04039,94.425
131,0.0158343,98.175,0.0406952,94.55
132,0.0144132,98.3312,0.0404006,94.775
133,0.0148226,98.2,0.0401905,94.7
134,0.0144784,98.2062,0.0411841,94.475
135,0.0150798,98.175,0.0389185,94.95
136,0.0164097,98.0062,0.0425633,94.125
137,0.0127652,98.4938,0.0371465,95.075
138,0.0140226,98.2313,0.0406855,94.375
139,0.0150803,98.1312,0.040985,94.575
140,0.0128148,98.4562,0.0381013,94.925
141,0.0130703,98.5125,0.0382693,94.825
142,0.0130072,98.4313,0.0390046,94.8
143,0.0143252,98.2438,0.040343,94.275
144,0.0150037,98.1875,0.0398809,94.5
145,0.0136189,98.3625,0.0413006,94.525
146,0.0123167,98.5812,0.0385381,94.925
147,0.0139606,98.25,0.0395342,94.65
148,0.0128229,98.4562,0.0385843,94.925
149,0.0134832,98.3,0.0410826,94.325
150,0.0128155,98.4813,0.0386052,94.925
151,0.0126719,98.4625,0.0409545,94.525
152,0.0147331,98.2,0.0402766,94.5
153,0.0109187,98.7938,0.0385324,94.85
154,0.0115481,98.6813,0.0389609,94.575
155,0.0118008,98.625,0.037347,95.075
156,0.0109805,98.75,0.037794,94.825
157,0.0103907,98.8125,0.0359157,95.25
158,0.01294,98.4313,0.0398621,94.475
159,0.0125103,98.5125,0.0397656,94.825
160,0.0124042,98.5375,0.0398992,94.875
161,0.0126833,98.5375,0.0384878,94.725
162,0.0105676,98.8438,0.0381577,95
163,0.0107401,98.7625,0.0374472,95
164,0.00943755,98.9375,0.0370151,94.825
165,0.0119617,98.5187,0.038383,94.9
166,0.0110298,98.6813,0.0382715,94.875
167,0.0102105,98.7938,0.0380921,94.95
168,0.00910433,98.9313,0.0357853,95.075
169,0.0105822,98.7813,0.0379989,94.95
170,0.0106392,98.7313,0.0385361,94.55
171,0.0104018,98.8375,0.0384334,94.925
172,0.0114774,98.7,0.038211,95
173,0.00885737,99.0812,0.0368394,94.975
174,0.00914135,98.975,0.0367224,95.075
175,0.00995516,98.9875,0.0381831,95.05
176,0.00978012,98.9313,0.0381976,94.975
177,0.00864296,99.1063,0.0369464,94.9
178,0.00978928,98.925,0.0371548,95.125
179,0.0109584,98.675,0.0394729,94.425
180,0.00840649,99.1063,0.0367197,95.1
181,0.00821649,99.1375,0.0367928,95.1
182,0.00917477,98.9313,0.0373278,94.875
183,0.00900463,98.9938,0.0371851,95.275
184,0.0105486,98.7438,0.0401722,94.55
185,0.00960108,98.875,0.0374727,94.875
186,0.00847517,99.0875,0.0384242,94.925
187,0.0105958,98.7687,0.0384405,94.85
188,0.00746474,99.1688,0.036995,94.925
189,0.0117302,98.4938,0.0398947,94.5
190,0.0111039,98.6688,0.0382345,94.95
191,0.00807555,99.1,0.0369662,94.9
192,0.00759632,99.2625,0.0363244,94.95
193,0.00968071,98.8563,0.0382519,94.9
194,0.00732784,99.2438,0.0360063,95.05
195,0.00868204,99.1,0.0374449,95.15
196,0.00699491,99.3312,0.0362361,95.125
197,0.00755981,99.2313,0.0364916,95.1
198,0.00732637,99.2625,0.0368843,94.825
199,0.00697206,99.3,0.0357287,95.05
200,0.0148796,98.0375,0.0434062,94.25
201,0.00851271,99.0625,0.0388785,94.775
202,0.00750113,99.2313,0.0364088,95.075
203,0.00833223,99.05,0.0374957,94.9
204,0.00664152,99.325,0.0366226,95.15
205,0.00776096,99.1437,0.0357922,95.25
206,0.00757657,99.15,0.0361463,95.35
207,0.00760605,99.2062,0.0368072,95.1
208,0.00667637,99.3375,0.0360487,95.075
209,0.0072073,99.225,0.0368831,95.225
210,0.0103337,98.7625,0.0395959,94.625
211,0.00820652,99.1625,0.0378718,95.075
212,0.00700005,99.2375,0.0361383,95.2
213,0.00713518,99.2875,0.0363185,95.225
214,0.00625423,99.3875,0.0349139,95.35
215,0.00639987,99.3312,0.035662,95.15
216,0.0086721,99.0375,0.0387971,94.875
217,0.00685692,99.2625,0.0368095,94.975
218,0.00627408,99.3625,0.0359616,95.075
219,0.00671065,99.3187,0.0365745,95.025
220,0.00643388,99.325,0.0363212,95.15
221,0.00646851,99.2813,0.0363383,95.125
222,0.00620861,99.3625,0.0369183,94.975
223,0.00598607,99.4313,0.0354177,95.175
224,0.00524432,99.5313,0.0352068,95.075
225,0.00564185,99.4813,0.0350835,95.4
226,0.0101877,98.7938,0.0399537,94.7
227,0.00554025,99.4188,0.0355016,94.975
228,0.00512616,99.525,0.0349147,95.175
229,0.00881714,98.95,0.0387503,94.85
230,0.00680556,99.25,0.0368846,95.025
231,0.00567688,99.4188,0.0353339,95.2
232,0.00572081,99.4313,0.0357052,95.175
233,0.00510532,99.5187,0.0347208,95.425
234,0.00530126,99.4875,0.0358639,95.275
235,0.00592085,99.3937,0.0372369,94.85
236,0.00526826,99.4625,0.0363982,95.05
237,0.00691436,99.2813,0.0372941,95.05
238,0.00491389,99.55,0.0351993,95.2
239,0.00619317,99.3688,0.0370308,95
